kind,resid_rms,resid_offset,g_T,b_T,d_alpha_T_read,delta_T,g_H,b_H,d_alpha_H_read,delta_H,g_P,b_P,d_alpha_P_read,delta_P
joint_vertex,1.924209761050804e-07,1.1530529778037182e-06,1.0,-1.0,-2.8250076146019973e-09,2.8134401977896524e-10,1.0,4.0,4.019051303687875e-09,-3.143540238953312e-10,1.0,1.0,2.313797759521614e-09,-8.07972386822021e-11
joint_vertex,1.9243122249676502e-07,1.1550498655328368e-06,1.0,-1.0,-2.832273858240536e-09,2.7407777614042653e-10,1.0,4.0,4.01878374139738e-09,-3.146215861858257e-10,0.9525721136793044,0.03271033745252472,2.4107410571250176e-09,1.6146058921201402e-11
joint_vertex,1.9242478870142722e-07,1.1569130510927237e-06,1.0,-1.0,-2.840200019969571e-09,2.661516144113913e-10,1.0,4.0,4.019342260552305e-09,-3.140630670309008e-10,1.0,-1.0,2.3137923453207907e-09,-8.080265288302552e-11
joint_vertex,1.9241614784417103e-07,1.1549222065252805e-06,1.0,-1.0,-2.8328996967961036e-09,2.7345193758485893e-10,1.0,4.0,4.0195724582993785e-09,-3.1383286928382755e-10,1.0474278863206956,-0.03271033745252461,2.225628148282904e-09,-1.6896684992091235e-10
joint_vertex,1.9283433497315264e-07,1.1576129752139657e-06,1.0,-1.0,-3.6170547825135833e-09,-5.107031481326208e-10,0.6967973758570938,0.6452332270136232,4.569560974415521e-09,2.3615564683231474e-10,1.0,1.0,2.2503648944020014e-09,-1.442301038018148e-10
joint_vertex,1.928412866319412e-07,1.1596103537545753e-06,1.0,-1.0,-3.62429082752914e-09,-5.179391931481773e-10,0.6967973758570938,0.6452332270136232,4.5693633473894315e-09,2.3595801980622544e-10,0.9525721136793044,0.03271033745252472,2.3473386645812882e-09,-4.725633362252798e-11
joint_vertex,1.928392831195917e-07,1.161474013428631e-06,1.0,-1.0,-3.6321943375504162e-09,-5.258427031694537e-10,0.6967973758570938,0.6452332270136232,4.569991652846672e-09,2.365863252634661e-10,1.0,-1.0,2.250365011170787e-09,-1.4422998703302906e-10
joint_vertex,1.928335858075767e-07,1.1594826788034704e-06,1.0,-1.0,-3.6249238808256903e-09,-5.185722464447278e-10,0.6967973758570938,0.6452332270136232,4.570151923475147e-09,2.3674659589194086e-10,1.0474278863206956,-0.03271033745252461,2.1621728530943655e-09,-2.3242214510945073e-10
joint_vertex,1.9375267001912968e-07,1.1629431026390698e-06,1.0,-1.0,-4.3730858560233544e-09,-1.266734221642392e-09,1.0,-4.0,4.061915702033198e-09,-2.7148962555000784e-10,1.0,1.0,2.3997663297400464e-09,5.171331536230139e-12
joint_vertex,1.9376081229847526e-07,1.1649413084737635e-06,1.0,-1.0,-4.3803076594590285e-09,-1.273956025078066e-09,1.0,-4.0,4.061651686662882e-09,-2.7175364092032373e-10,0.9525721136793044,0.03271033745252472,2.4967676971332757e-09,1.0217269892945944e-10
joint_vertex,1.9375779389696143e-07,1.166805703376146e-06,1.0,-1.0,-4.388186422474768e-09,-1.2818347880938052e-09,1.0,-4.0,4.062208578711475e-09,-2.7119674887173087e-10,1.0,-1.0,2.3997601364000957e-09,5.165138196279482e-12
joint_vertex,1.9375100222423726e-07,1.164813545620481e-06,1.0,-1.0,-4.380930677509655e-09,-1.2745790431286922e-09,1.0,-4.0,4.062435460745368e-09,-2.709698668378378e-10,1.0474278863206956,-0.03271033745252461,2.3115431620690096e-09,-8.305183613480665e-11
joint_vertex,1.9320550232134904e-07,1.158172331413783e-06,1.0,-1.0,-3.593110879595911e-09,-4.867592452149486e-10,1.3032026241429062,-0.6452332270136241,3.756439585817695e-09,-5.769657417655111e-10,1.0,1.0,2.4134085535132216e-09,1.8813555309405333e-11
