time,counts_ratio,humidity,temperature,pressure,n_1762
2025-08-06 16:00:10.325595+00:00,2.2584878,28.38494206692853,28.992849886999466,989.87938663445,1.0002550051518126
2025-08-06 16:00:21.459292+00:00,2.2584876,28.450846804241547,28.93619411662803,989.8105731086592,1.000255124416396
2025-08-06 16:00:34.312156+00:00,2.2584874,28.433573248938423,28.92074254900217,989.8145752285668,1.0002552277675882
2025-08-06 16:00:47.650658+00:00,2.258488,28.44439962544637,28.961946735158563,989.822751163132,1.0002549280268596
2025-08-06 16:00:59.678553+00:00,2.2584881,28.427125454927506,28.967097259737784,989.8591184075268,1.0002548889102878
2025-08-06 16:01:12.642673+00:00,2.2584879,28.45714575640307,28.92074254900217,989.8428496903874,1.0002550133137016
2025-08-06 16:01:25.085463+00:00,2.2584877,28.43987263641086,28.910441505373456,989.8266673243688,1.0002551069389647
2025-08-06 16:01:38.156991+00:00,2.2584873,28.398287265002736,28.93619411662803,989.8388482551092,1.0002552653583026
2025-08-06 16:01:50.622689+00:00,2.2584882,28.421712762807697,28.93619411662803,989.867123421294,1.0002548737512187
2025-08-06 16:02:04.654396+00:00,2.2584879,28.451732280853644,28.910441505373456,989.7863007864804,1.0002550077333334
2025-08-06 16:02:16.551506+00:00,2.258488,28.528445643298937,28.889839421608485,989.8751237518628,1.0002550033582738
2025-08-06 16:02:29.219860+00:00,2.2584875,28.511172529918845,28.87953838147223,989.834666034798,1.0002552235606277
2025-08-06 16:02:42.162600+00:00,2.2584876,28.58260510164221,28.848635268048383,989.870931336575,1.0002552146480643
2025-08-06 16:02:55.122193+00:00,2.2584873,28.61831575551214,28.817732165101916,989.8506494097982,1.0002553687504654
2025-08-06 16:03:08.047981+00:00,2.258487,28.67772867997043,28.786829072632827,989.8667265418496,1.0002555319471484
2025-08-06 16:03:21.070863+00:00,2.258488,28.601480504103407,28.791979587316742,989.8667265418496,1.000255085638243
2025-08-06 16:03:33.799178+00:00,2.2584872,28.624461021109468,28.807431133114733,989.8344651975088,1.0002554177581287
2025-08-06 16:03:47.013208+00:00,2.2584877,28.594897752048777,28.817732165101916,989.8506494097982,1.000255191927628
2025-08-06 16:03:59.564117+00:00,2.2584879,28.52932523497592,28.85893630469218,989.8184831178507,1.000255059948354
2025-08-06 16:04:13.338389+00:00,2.2584875,28.517468173712707,28.86408682345063,989.838663634171,1.00025523800268
2025-08-06 16:04:25.414587+00:00,2.2584875,28.44631910121262,28.89498994211317,989.8751237518628,1.000255221472998
2025-08-06 16:04:38.096904+00:00,2.2584876,28.40955577205258,28.951645686873235,989.867123421294,1.0002551261672876
2025-08-06 16:04:51.194433+00:00,2.2584876,28.3265191617622,28.987699360965053,989.83492749522,1.0002550875441436
2025-08-06 16:05:04.087152+00:00,2.2584884,27.70575766169392,28.98254883522168,989.8995734895856,1.0002547633584944
2025-08-06 16:05:17.422294+00:00,2.2584882,28.168522438546702,28.98254883522168,989.883391384092,1.0002548411219854
2025-08-06 16:05:30.607838+00:00,2.2584882,28.40985195737046,28.93619411662803,989.9236738128689,1.0002548885717588
2025-08-06 16:05:42.701636+00:00,2.2584876,28.510144589778,28.915592027042297,989.8913070085188,1.0002551624768896
2025-08-06 16:05:55.946761+00:00,2.2584879,28.194812372746412,28.900140462908897,989.8387585977816,1.0002550339801086
2025-08-06 16:06:08.189440+00:00,2.2584874,28.475892334036264,28.88468890139484,989.9073952931634,1.0002552826993374
2025-08-06 16:06:20.893212+00:00,2.2584875,28.45832550958977,28.88468890139484,989.8306672648883,1.0002552187782556
2025-08-06 16:06:33.699373+00:00,2.2584881,28.404884210870488,28.889839421608485,989.7943028834208,1.0002549398859981
2025-08-06 16:06:47.368019+00:00,2.258488,28.227997125351443,28.951645686873235,989.9317655745758,1.0002549683527362
2025-08-06 16:06:58.958457+00:00,2.2584875,28.327711769840064,28.94649516316713,989.9115816852908,1.0002551876391763
2025-08-06 16:07:11.535505+00:00,2.2584883,28.380421201591624,28.94649516316713,989.8388482551092,1.0002548137334786
2025-08-06 16:07:24.092776+00:00,2.2584878,28.26749738515902,29.003150939941406,989.8591993536794,1.0002549926146604
2025-08-06 16:07:36.784633+00:00,2.2584877,28.171511637473955,29.085559405386448,989.8472436601892,1.0002549632915865
2025-08-06 16:07:49.566515+00:00,2.2584881,28.135905097227944,29.09070993695059,989.8553335411816,1.0002547842520895
2025-08-06 16:08:02.475795+00:00,2.2584874,28.135602085934995,29.10616153338924,989.907886085709,1.000255094409994
2025-08-06 16:08:15.236027+00:00,2.2584877,28.153481798746768,29.095860468805768,989.863423446345,1.0002549587568197
2025-08-06 16:08:27.847202+00:00,2.2584877,28.13019773339585,29.09070993695059,989.8553335411816,1.0002549614890275
2025-08-06 16:08:40.654714+00:00,2.2584879,28.196152155603084,29.039204634405905,989.8592749909576,1.0002549179107847
2025-08-06 16:08:53.812174+00:00,2.2584883,28.2801102777044,28.972247784608044,989.8106558547348,1.0002547853849422
2025-08-06 16:09:06.329708+00:00,2.2584874,28.32066197107788,28.987699360965053,989.83492749522,1.0002551762054073
2025-08-06 16:09:18.799479+00:00,2.2584877,28.315550902945606,28.961946735158563,989.90758012433,1.0002550847103746
2025-08-06 16:09:31.630377+00:00,2.2584876,28.34602569238696,28.915592027042297,989.8913070085188,1.0002551648165485
2025-08-06 16:09:44.273275+00:00,2.2584877,28.42319159144313,28.88468890139484,989.899303304444,1.0002551484863484
2025-08-06 16:09:57.797783+00:00,2.2584878,28.429785943567996,28.85893630469218,989.858843724934,1.000255116111145
2025-08-06 16:10:10.481424+00:00,2.2584878,28.42393060139128,28.85893630469218,989.774028614136,1.0002550942145283
2025-08-06 16:10:22.794657+00:00,2.2584881,28.476333959174035,28.869237342500128,989.8467552910156,1.0002549704535255
2025-08-06 16:10:35.447043+00:00,2.2584882,28.517908259244432,28.848635268048383,989.8143888093144,1.0002549351812566
2025-08-06 16:10:48.038670+00:00,2.2584879,28.44120142931077,28.869237342500128,989.834666034798,1.0002550563976855
2025-08-06 16:11:00.793543+00:00,2.258488,28.3748616076036,28.93619411662803,989.8388482551092,1.0002549556716442
2025-08-06 16:11:13.464294+00:00,2.2584881,28.18219651976925,28.915592027042297,989.806484268218,1.0002549237309803
2025-08-06 16:11:26.428673+00:00,2.2584873,28.323196580012596,28.900140462908897,989.8104850553738,1.0002552905575512
2025-08-06 16:11:39.258173+00:00,2.2584879,28.16402350927327,28.93104359379504,989.8590321534112,1.0002550126946106
2025-08-06 16:11:52.068257+00:00,2.258488,28.232953101926658,28.98254883522168,989.7702825431982,1.0002548994773575
2025-08-06 16:12:05.998439+00:00,2.2584879,27.35754344251263,29.064957282040268,989.7987048819532,1.000254891813974
2025-08-06 16:12:17.598820+00:00,2.2584874,28.02967934714551,29.116462599136867,989.8109337487144,1.0002550618497414
2025-08-06 16:12:43.120641+00:00,2.2584882,27.239406191455892,29.301881981664337,989.8192494120842,1.0002545596143582
2025-08-06 16:12:55.801555+00:00,2.2584874,27.31008225275526,29.270978725049645,989.799012882161,1.000254934560072
2025-08-06 16:13:09.051252+00:00,2.2584875,27.881645540698184,29.17311848155805,989.7140272460812,1.0002549452243015
2025-08-06 16:13:21.517007+00:00,2.258488,28.076706690862423,29.111312066117534,989.7462786463389,1.0002547831892938
2025-08-06 16:13:34.369174+00:00,2.2584881,28.207115303347493,29.064957282040268,989.7300418620606,1.0002547732425726
2025-08-06 16:13:46.966645+00:00,2.2584874,28.220486804449276,29.0134519940475,989.7622663956888,1.0002551363471976
2025-08-06 16:14:00.266675+00:00,2.258488,28.29152538471989,28.98254883522168,989.8268369241692,1.000254913289313
2025-08-06 16:14:12.768663+00:00,2.2584875,28.239860921404222,28.95679621087038,989.7863844322868,1.0002551474676433
2025-08-06 16:14:25.214877+00:00,2.2584884,28.375158534109403,28.915592027042297,989.7782100609184,1.0002547807880855
2025-08-06 16:14:40.895330+00:00,2.2584882,28.553038399682656,28.848635268048383,989.7942089245006,1.000254929452486
2025-08-06 16:14:51.303516+00:00,2.2584875,28.53474085180904,28.87438786184066,989.7417574587304,1.0002552036477876
2025-08-06 16:15:04.173166+00:00,2.2584869,28.39754610318044,28.961946735158563,989.8591184075268,1.0002554252937452
2025-08-06 16:15:18.231886+00:00,2.2584876,28.203365527290146,28.992849886999466,989.7581851398852,1.0002550649333806
2025-08-06 16:15:30.070184+00:00,2.2584879,28.23160101860713,29.02890357738943,989.7865357997543,1.0002549075496099
2025-08-06 16:15:43.445694+00:00,2.2584877,28.196905543625512,29.0134519940475,989.7905449455868,1.000255011143662
2025-08-06 16:15:56.751545+00:00,2.2584875,28.225592778415447,29.034054105752148,989.7542455634898,1.0002550719341088
2025-08-06 16:16:10.353098+00:00,2.258488,28.273205105783997,29.008301466848938,989.8107332926892,1.0002548869072625
2025-08-06 16:16:21.324948+00:00,2.2584873,28.29092725314746,28.998000413324917,989.7945529202492,1.0002552014719313
2025-08-06 16:16:34.207210+00:00,2.258487,28.339425046721612,28.94134463975206,989.8186639312088,1.000255389338983
2025-08-06 16:16:47.078137+00:00,2.2584883,28.233253446260953,28.972247784608044,989.8106558547348,1.0002547860550188
2025-08-06 16:17:00.366916+00:00,2.2584883,28.11641156214225,28.961946735158563,989.794474882206,1.0002547925232412
2025-08-06 16:17:12.854177+00:00,2.2584877,28.245117735643287,28.967097259737784,989.802565356356,1.0002550540166697
2025-08-06 16:17:26.081823+00:00,2.2584878,28.222590944401077,28.93619411662803,989.7822979819445,1.0002550317710757
2025-08-06 16:17:38.954143+00:00,2.2584871,28.30353845399656,28.972247784608044,989.802565356356,1.0002553144185584
2025-08-06 16:17:52.337394+00:00,2.2584882,28.12539993478239,29.054656222113408,989.8269852904804,1.0002547642190096
2025-08-06 16:18:05.078403+00:00,2.2584879,28.053726861688933,29.101011000951985,989.8715133756768,1.0002548692190245
2025-08-06 16:18:17.062373+00:00,2.2584875,28.035996796660307,29.10616153338924,989.7947551780468,1.0002550222623818
