time,counts_ratio
2025-06-29 14:11:55.202204+00:00,2.2584874
2025-06-29 14:12:07.577794+00:00,2.2584881
2025-06-29 14:12:28.543780+00:00,2.2584877
2025-06-29 14:12:39.633713+00:00,2.2584882
2025-06-29 14:12:51.706388+00:00,2.2584875
2025-06-29 14:13:06.403006+00:00,2.2584874
2025-06-29 14:13:35.012451+00:00,2.2584879
2025-06-29 14:13:49.652457+00:00,2.2584874
2025-06-29 14:13:59.784561+00:00,2.2584881
2025-06-29 14:14:10.522291+00:00,2.2584876
2025-06-29 14:14:20.158957+00:00,2.2584877
2025-06-29 14:14:34.092020+00:00,2.2584882
2025-06-29 14:14:47.118918+00:00,2.2584879
2025-06-29 14:14:58.722560+00:00,2.2584877
2025-06-29 14:15:11.963982+00:00,2.2584883
2025-06-29 14:15:31.555128+00:00,2.2584881
2025-06-29 14:15:43.403494+00:00,2.2584881
2025-06-29 14:15:50.500490+00:00,2.2584876
2025-06-29 14:16:02.828687+00:00,2.2584883
2025-06-29 14:16:15.269796+00:00,2.2584883
2025-06-29 14:16:28.098070+00:00,2.2584881
2025-06-29 14:16:40.791466+00:00,2.2584884
2025-06-29 14:16:53.498777+00:00,2.2584881
2025-06-29 14:17:06.210278+00:00,2.2584882
2025-06-29 14:17:32.027465+00:00,2.2584881
2025-06-29 14:18:06.850166+00:00,2.2584877
2025-06-29 14:18:34.037765+00:00,2.2584878
2025-06-29 14:18:46.832344+00:00,2.2584882
2025-06-29 14:18:59.042322+00:00,2.2584877
2025-06-29 14:19:12.682503+00:00,2.2584882
2025-06-29 14:19:24.738429+00:00,2.2584878
2025-06-29 14:19:37.385759+00:00,2.2584884
2025-06-29 14:19:50.300257+00:00,2.2584884
2025-06-29 14:20:03.655280+00:00,2.2584876
2025-06-29 14:20:19.275713+00:00,2.2584881
2025-06-29 14:20:41.532198+00:00,2.2584878
2025-06-29 14:20:53.800948+00:00,2.2584879
2025-06-29 14:21:44.947909+00:00,2.2584877
2025-06-29 14:21:57.870011+00:00,2.258488
2025-06-29 14:22:11.261857+00:00,2.2584882
2025-06-29 14:22:22.976029+00:00,2.2584877
2025-06-29 14:22:50.225722+00:00,2.2584879
2025-06-29 14:23:02.836991+00:00,2.2584881
2025-06-29 14:23:19.684995+00:00,2.2584882
2025-06-29 14:23:26.291592+00:00,2.2584877
2025-06-29 14:23:40.679631+00:00,2.2584881
2025-06-29 14:23:52.026339+00:00,2.258488
2025-06-29 14:24:33.265365+00:00,2.2584877
2025-06-29 14:24:56.162240+00:00,2.2584883
2025-06-29 14:25:30.082450+00:00,2.2584882
2025-06-29 14:25:37.057582+00:00,2.2584882
2025-06-29 14:25:58.800005+00:00,2.2584881
2025-06-29 14:26:23.966949+00:00,2.258488
